Nombres,Apellido 1,Apellido 2,Cédula,Fecha de Nacimiento,Género,Fecha de Ingreso,Número de empleado,Cargo,Jefe,Zona,Municipio,Departamento,Ventas 2019,Email,Contraseña,Imágen,Celular
Claudia,Esguerra,Loaiza,53.506.708,16/10/1997,F,15/04/2010,5700027,Ejecutivo Comercial,5700068,Zona 3,Pasto,Nariño,$23.270.968,claudia.esguerra@sulogistics.com,cesguerral1997,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F3_tknmmr.jpg,311-300-7012
Fabián,Cortázar,Loaiza,94.346.290,16/7/1998,M,10/11/2010,5700028,Gerente Regional,5700079,Zona 2,Medellín,Antioquia,,fabianrtazar@sulogistics.com,fcortazarl1998,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M2_rtdrqj.jpg,320-557-5045
Paula,Atehortúa,Mendoza,53.983.501,16/10/1985,F,16/12/2010,5700029,Ejecutivo Comercial,5700068,Zona 3,Tumaco,Nariño,$35.596.603,paula.atehortua@sulogistics.com,patehortuam1985,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F3_tknmmr.jpg,317-677-7569
María Cecilia,Maya,Echeverría,53.393.776,3/6/1973,F,29/12/2010,5700030,Ejecutivo Comercial,5700033,Zona 3,Cali,Valle del Cauca,$24.915.148,mariacecilia.maya@sulogistics.com,mmayae1973,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F3_tknmmr.jpg,317-296-1723
Hernando,Cortázar,Ezguerra,94.331.430,19/9/1975,M,4/02/2011,5700031,Ejecutivo Comercial,5700008,Zona 2,Envigado,Antioquia,$30.459.554,hernandortazar@sulogistics.com,hcortazare1975,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M2_rtdrqj.jpg,316-155-2213
Juan Roberto,Ulloa,Lezama,94.145.893,18/11/1976,M,6/02/2011,5700032,Ejecutivo Comercial,5700008,Zona 2,Medellín,Antioquia,$35.183.567,juanroberto.ulloa@sulogistics.com,julloal1976,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M2_rtdrqj.jpg,314-442-4698
Antonio,Chavarríaga,Erazo,94.419.554,16/10/1979,M,17/03/2011,5700033,Subgerente Regional,5700058,Zona 3,Cali,Valle del Cauca,,antonio.chavarriaga@sulogistics.com,achavarriagae1979,https://res.cloudinary.com/luisgr/image/upload/v1632691295/basicapp/users-profile/M3_h4pskt.jpg,321-759-7748
Eduardo,Echandía,Anzola,94.309.423,4/6/1972,M,5/10/2011,5700034,Ejecutivo Comercial,5700033,Zona 3,Cali,Valle del Cauca,$44.537.276,eduardo.echandia@sulogistics.com,eechandiaa1972,https://res.cloudinary.com/luisgr/image/upload/v1632691295/basicapp/users-profile/M3_h4pskt.jpg,316-287-8486
Paloma,Artistizábal,Loaiza,53.402.505,25/3/1989,F,14/10/2011,5700035,Ejecutivo Comercial,5700033,Zona 3,Buenaventura,Valle del Cauca,$47.420.381,paloma.artistizabal@sulogistics.com,partistizaball1989,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F3_tknmmr.jpg,311-202-8952
Juan Fernando,Arteaga,Espitia,94.542.886,11/5/1996,M,16/10/2011,5700036,Ejecutivo Comercial,5700033,Zona 3,Tuluá,Valle del Cauca,$45.223.635,juanfernando.arteaga@sulogistics.com,jarteagae1996,https://res.cloudinary.com/luisgr/image/upload/v1632691295/basicapp/users-profile/M3_h4pskt.jpg,316-887-9789
Esteban,Mendiola,Cortázar,94.536.366,8/10/1996,M,11/03/2012,5700037,Ejecutivo Comercial,5700068,Zona 3,Tumaco,Nariño,$44.987.651,esteban.mendiola@sulogistics.com,emendiolac1996,https://res.cloudinary.com/luisgr/image/upload/v1632691295/basicapp/users-profile/M3_h4pskt.jpg,318-161-4155
María del Pilar,Jáuregui,Arana,53.226.489,13/1/2000,F,26/06/2012,5700038,Subgerente Regional,5700009,Zona 1,Cúcuta,Norte de Santander,,mariadelpilar.jauregui@sulogistics.com,mjaureguia2000,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,311-338-4706
Ana Lucía,Londoño,Argote,53.885.201,25/2/1999,F,14/07/2012,5700039,Subgerente Regional,5700063,Zona 4,Barranquilla,Atlántico,,analucia.londoño@sulogistics.com,alondoñoa1999,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F4_xznwxl.jpg,320-831-7826
Juan Fernando,Oquendo,Uzurriaga,94.974.613,15/3/1985,M,27/02/2013,5700040,Ejecutivo Comercial,5700056,Zona 1,Bogotá,Cundinamarca,$33.811.319,juanfernando.oquendo@sulogistics.com,joquendou1985,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M1_ukau2e.jpg,312-170-9920
Félix,Dorronsoro,Londoño,94.684.368,4/8/1985,M,23/03/2013,5700041,Ejecutivo Comercial,5700056,Zona 1,Soacha,Cundinamarca,$24.595.413,felix.dorronsoro@sulogistics.com,fdorronsorol1985,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M1_ukau2e.jpg,318-624-8373
Jorge Iván,Garavito,Sarasti,94.786.635,24/8/1993,M,22/08/2013,5700042,Ejecutivo Comercial,5700046,Zona 1,Bogotá,Cundinamarca,$40.204.590,jorgeivan.garavito@sulogistics.com,jgaravitos1993,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M1_ukau2e.jpg,319-483-5343
Carlos,Marulanda,Solórzano,94.862.202,20/2/1983,M,23/08/2013,5700043,Ejecutivo Comercial,5700056,Zona 1,Bogotá,Cundinamarca,$27.901.150,carlos.marulanda@sulogistics.com,cmarulandas1983,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M1_ukau2e.jpg,314-850-6612
Gonzalo,Obando,Zambrano,94.569.315,9/1/1986,M,15/12/2013,5700044,Ejecutivo Comercial,5700039,Zona 4,Barranquilla,Atlántico,$39.075.926,gonzalo.obando@sulogistics.com,gobandoz1986,https://res.cloudinary.com/luisgr/image/upload/v1632689825/basicapp/users-profile/M4_r5cckc.jpg,316-157-3879
Valeria,Anzola,Zúñiga,53.480.961,23/4/1988,F,14/06/2014,5700045,Subgerente Regional,5700028,Zona 2,Ibagué,Tolima,,valeria.anzola@sulogistics.com,vanzolaz1988,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F2_ntaqta.jpg,321-174-9082
María Victoria,Arana,Echaverría,53.510.377,1/3/1979,F,29/06/2014,5700046,Subgerente Regional,5700009,Zona 1,Bogotá,Cundinamarca,,mariavictoria.arana@sulogistics.com,maranae1979,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,315-363-9624
Cecilia,Oquendo,Lezama,53.568.970,19/9/1985,F,7/08/2014,5700047,Ejecutivo Comercial,5700008,Zona 2,Medellín,Antioquia,$23.454.966,cecilia.oquendo@sulogistics.com,coquendol1985,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F2_ntaqta.jpg,317-614-3304
Ana Lucía,Zuleta,Lizarazo,53.107.507,4/12/1981,F,15/08/2014,5700048,Ejecutivo Comercial,5700015,Zona 4,Cartagena,Bolívar,$49.376.310,analucia.zuleta@sulogistics.com,azuletal1981,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F4_xznwxl.jpg,319-809-9759
Rosalía,Viscaya,Ortiz,53.933.885,13/5/1985,F,12/09/2014,5700049,Ejecutivo Comercial,5700015,Zona 4,Cartagena,Bolívar,$20.503.022,rosalia.viscaya@sulogistics.com,rviscayao1985,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F4_xznwxl.jpg,311-357-3175
Simón,Zea,Olaya,94.556.601,27/4/1992,M,26/10/2014,5700050,Ejecutivo Comercial,5700056,Zona 1,Bogotá,Cundinamarca,$24.952.618,simon.zea@sulogistics.com,szeao1992,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M1_ukau2e.jpg,310-227-5817
Sara,Landázuri,Azcárate,53.548.666,23/5/1985,F,1/01/2015,5700051,Ejecutivo Comercial,5700056,Zona 1,Soacha,Cundinamarca,$43.943.534,sara.landazuri@sulogistics.com,slandazuria1985,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,317-812-5469
Alberto,Zea,Londoño,94.250.200,30/11/1983,M,25/02/2015,5700052,Ejecutivo Comercial,5700045,Zona 2,Ibagué,Tolima,$26.224.343,alberto.zea@sulogistics.com,azeal1983,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M2_rtdrqj.jpg,321-194-1524
Tatiana,Larrahondo,Chavarro,53.730.117,14/10/1986,F,26/02/2015,5700053,Ejecutivo Comercial,5700008,Zona 2,Medellín,Antioquia,$17.382.981,tatiana.larrahondo@sulogistics.com,tlarrahondoc1986,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F2_ntaqta.jpg,318-417-4898
Virginia María,Iragorri,Ibargüen,53.635.157,24/9/1998,F,1/03/2015,5700054,Ejecutivo Comercial,5700033,Zona 3,Cali,Valle del Cauca,$29.398.326,virginiamaria.iragorri@sulogistics.com,viragorrii1998,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F3_tknmmr.jpg,310-593-3997
Irene,Mazuera,Lizarazo,53.225.966,24/8/1971,F,11/03/2015,5700055,Ejecutivo Comercial,5700056,Zona 1,Bogotá,Cundinamarca,$42.989.473,irene.mazuera@sulogistics.com,imazueral1971,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,314-733-2238
Mariana,Loaiza,Zuluaga,53.622.318,9/1/1991,F,13/03/2015,5700056,Subgerente Regional,5700009,Zona 1,Bogotá,Cundinamarca,,mariana.loaiza@sulogistics.com,mloaizaz1991,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,311-755-7183
Nicolás,Espitia,Argote,94.143.578,22/7/1982,M,1/07/2015,5700057,Ejecutivo Comercial,5700039,Zona 4,Barranquilla,Atlántico,$30.826.130,nicolas.espitia@sulogistics.com,nespitiaa1982,https://res.cloudinary.com/luisgr/image/upload/v1632689825/basicapp/users-profile/M4_r5cckc.jpg,314-263-4211
Miguel Antonio,Uzurriaga,Sarria,94.916.844,14/3/1998,M,21/09/2015,5700058,Gerente Regional,5700079,Zona 3,Cali,Valle del Cauca,,miguelantonio.uzurriaga@sulogistics.com,muzurriagas1998,https://res.cloudinary.com/luisgr/image/upload/v1632691295/basicapp/users-profile/M3_h4pskt.jpg,313-932-1190
María Claudia,Uribe,Otoya,53.567.668,15/4/1994,F,6/10/2015,5700059,Ejecutivo Comercial,5700060,Zona 2,Pereira,Risaralda,$19.789.103,mariaclaudia.uribe@sulogistics.com,muribeo1994,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F2_ntaqta.jpg,320-812-5323
Celia,Alzate,Bolívar,53.898.67,6/6/1999,F,30/11/2015,5700060,Subgerente Regional,5700028,Zona 2,Manizales,Caldas,,celia.alzate@sulogistics.com,calzateb1999,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F2_ntaqta.jpg,312-277-8844
Carlota,Unzueta,Obando,53.766.735,2/8/1984,F,21/12/2015,5700061,Ejecutivo Comercial,5700056,Zona 1,Bogotá,Cundinamarca,$34.240.139,carlota.unzueta@sulogistics.com,cunzuetao1984,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,315-503-9436
Benjamín,Echandía,Echeverría,94.230.243,27/7/1997,M,15/05/2016,5700062,Ejecutivo Comercial,5700010,Zona 5,Villavicencio,Meta,$31.175.144,benjamin.echandia@sulogistics.com,bechandiae1997,https://res.cloudinary.com/luisgr/image/upload/v1632691586/basicapp/users-profile/M5_uciobi.jpg,313-614-1040
María Inés,Gaviria,Obando,53.851.476,20/1/1983,F,26/05/2016,5700063,Gerente Regional,5700079,Zona 4,Barranquilla,Atlántico,,mariaines.gaviria@sulogistics.com,mgaviriao1983,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F4_xznwxl.jpg,314-801-5286
Fermín,Lenis,Ortiz,94.908.330,6/2/1995,M,19/09/2016,5700064,Ejecutivo Comercial,5700010,Zona 5,Yopal,Casanare,$22.131.338,fermin.lenis@sulogistics.com,fleniso1995,https://res.cloudinary.com/luisgr/image/upload/v1632691586/basicapp/users-profile/M5_uciobi.jpg,315-480-1583
Álvaro,Urdaneta,Daza,94.292.699,11/2/1971,M,7/11/2016,5700065,Ejecutivo Comercial,5700039,Zona 4,Santa Marta,Magdalena,$48.248.869,alvaro.urdaneta@sulogistics.com,aurdanetad1971,https://res.cloudinary.com/luisgr/image/upload/v1632689825/basicapp/users-profile/M4_r5cckc.jpg,311-333-6499
María Ángela,Ortiz,Upegui,53.159.848,14/2/1997,F,14/11/2016,5700066,Ejecutivo Comercial,5700010,Zona 5,Villavicencio,Meta,$23.691.072,mariaangela.ortiz@sulogistics.com,mortizu1997,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F5_c3ktge.jpg,314-311-6755
Luis Enrique,Lara,Olaya,94.615.579,30/7/1981,M,3/01/2017,5700067,Ejecutivo Comercial,5700015,Zona 4,Sincelejo,Sucre,$48.491.418,luisenrique.lara@sulogistics.com,llarao1981,https://res.cloudinary.com/luisgr/image/upload/v1632689825/basicapp/users-profile/M4_r5cckc.jpg,320-141-7130
María Angélica,Argote,Argote,53.725.429,30/11/1973,F,12/01/2017,5700068,Subgerente Regional,5700058,Zona 3,Pasto,Nariño,,mariaangelica.argote@sulogistics.com,margotea1973,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F3_tknmmr.jpg,312-497-3066
María Claudia,Otálora,Mendieta,53.878.343,5/4/1992,F,14/01/2017,5700069,Ejecutivo Comercial,5700008,Zona 2,Bello,Antioquia,$35.470.963,mariaclaudia.otalora@sulogistics.com,motaloram1992,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F2_ntaqta.jpg,320-778-2797
Eduardo,Arteta,Ulloa,94.335.177,2/2/1974,M,23/02/2017,5700070,Ejecutivo Comercial,5700046,Zona 1,Bogotá,Cundinamarca,$42.123.182,eduardo.arteta@sulogistics.com,eartetau1974,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M1_ukau2e.jpg,320-635-1393
Carlos Alberto,Upegui,Otálora,94.939.827,8/6/1998,M,27/02/2017,5700071,Ejecutivo Comercial,5700068,Zona 3,Pasto,Nariño,$25.935.804,carlosalberto.upegui@sulogistics.com,cupeguio1998,https://res.cloudinary.com/luisgr/image/upload/v1632691295/basicapp/users-profile/M3_h4pskt.jpg,314-695-3932
Damián,Daza,Arizabaleta,94.464.559,23/1/1977,M,13/05/2017,5700072,Ejecutivo Comercial,5700010,Zona 5,Yopal,Casanare,$25.953.890,damian.daza@sulogistics.com,ddazaa1977,https://res.cloudinary.com/luisgr/image/upload/v1632691586/basicapp/users-profile/M5_uciobi.jpg,320-337-4473
Carlos,Zea,Ochoa,94.429.224,26/9/1993,M,8/08/2017,5700073,Ejecutivo Comercial,5700038,Zona 1,Bucaramanga,Santander,$43.908.613,carlos.zea@sulogistics.com,czeao1993,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M1_ukau2e.jpg,315-788-9472
Félix,Arrieta,Alzate,94.231.700,29/5/1970,M,2/09/2017,5700074,Ejecutivo Comercial,5700010,Zona 5,Villavicencio,Meta,$15.883.848,felix.arrieta@sulogistics.com,farrietaa1970,https://res.cloudinary.com/luisgr/image/upload/v1632691586/basicapp/users-profile/M5_uciobi.jpg,311-655-5749
José,Ulloa,Otálora,94.259.424,5/7/1992,M,1/03/2018,5700075,Ejecutivo Comercial,5700060,Zona 2,Manizales,Caldas,$33.817.472,jose.ulloa@sulogistics.com,julloao1992,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M2_rtdrqj.jpg,311-454-5090
María Luisa,Upegui,Urdinola,53.456.127,4/4/1997,F,3/04/2018,5700076,Ejecutivo Comercial,5700010,Zona 5,Villavicencio,Meta,$49.730.216,marialuisa.upegui@sulogistics.com,mupeguiu1997,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F5_c3ktge.jpg,320-869-3162
Magdalena,Montoya,Oquendo,53.261.332,24/11/1980,F,24/06/2018,5700077,Ejecutivo Comercial,5700039,Zona 4,Santa Marta,Magdalena,$31.597.847,magdalena.montoya@sulogistics.com,mmontoyao1980,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F4_xznwxl.jpg,320-379-3363
Beatriz,Jáuregui,Uribe,53.326.355,23/3/1995,F,13/08/2018,5700078,Ejecutivo Comercial,5700039,Zona 4,Valledupar,Cesar,$40.377.521,beatriz.jauregui@sulogistics.com,bjaureguiu1995,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F4_xznwxl.jpg,320-834-4584
Sebastián,Uribarri,Echandía,94.873.179,2/9/1981,M,21/11/2018,5700079,Gerente Comercial,,Colombia,Bogotá,Cundinamarca,0,sebastian.uribarri@sulogistics.com,suribarrie1981,https://res.cloudinary.com/luisgr/image/upload/v1632691711/basicapp/users-profile/MC_busgm2.jpg,320-476-8731
Emilio,Ortiz,Otálora,94.894.754,16/6/1987,M,2/12/2018,5700080,Ejecutivo Comercial,5700010,Zona 5,Villavicencio,Meta,32554516,emilio.ortiz@sulogistics.com,eortizo1987,https://res.cloudinary.com/luisgr/image/upload/v1632691586/basicapp/users-profile/M5_uciobi.jpg,310-867-1713
Fátima,Dorronsoro,Lenis,53.572.739,4/5/1985,F,11/12/2018,5700081,Ejecutivo Comercial,5700046,Zona 1,Bogotá,Cundinamarca,31995916,fatima.dorronsoro@sulogistics.com,fdorronsorol1985,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,318-115-1301
José María,Galarza,Arrieta,94.253.448,13/7/1995,M,15/02/2019,5700082,Ejecutivo Comercial,5700015,Zona 4,Montería,Córdoba,27490626,josemaria.galarza@sulogistics.com,jgalarzaa1995,https://res.cloudinary.com/luisgr/image/upload/v1632689825/basicapp/users-profile/M4_r5cckc.jpg,314-930-9669
Esther,Aguirre,Iriarte,53.987.221,31/5/1967,F,3/06/1987,5800001,Asistente de Gerencia,5700079,Colombia,Bogotá,Cundinamarca,0,esther.aguirre@sulogistics.com,eaguirrei1967,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/FC_apdksb.jpg,318-716-0963
